Frequency_Hz,Magnitude_dBFS,Phase_rad
0.0,-6.758280769219521,3.141592653589793
1.0,-7.422292995333524,-1.5579387029549359
2.0,-8.248976601666156,3.0944624626121913
3.0,-11.319744355484913,1.7288814855003363
4.0,-18.058468159683688,1.3413199739288975
5.0,-7.015339684203671,-2.3147923864707427
6.0,-12.200329016641945,-0.2306078154476121
7.0,-12.701909864856024,-0.9299007608537911
8.0,-8.48529629195111,1.0538785015556666
9.0,-3.9762419026582085,1.73278541178982
10.0,-7.343073220378509,-2.6299627735949573
11.0,-15.62762643885949,-2.169502755881518
12.0,-10.304591080625114,2.477115491785649
13.0,-7.84644638383337,2.3264585205138015
14.0,-10.484757817591158,2.6075945990560943
15.0,-9.923428825403937,-0.03577717082724761
16.0,-12.476533358213814,-2.2367550342910363
17.0,-16.781522296895496,-0.242169346377673
18.0,-32.057996655172204,-0.31479957220666605
19.0,-9.830919648530465,-3.0565863025991233
20.0,-14.40890356106479,-2.3564935645609144
21.0,-21.248229805456845,2.515870790519323
22.0,-10.344624180408456,-2.985146916772534
23.0,-9.582837202402432,0.869118431671142
24.0,-9.802823002671651,0.7903977169623363
25.0,-5.994780361440149,0.9764150768393266
26.0,-13.666413017650463,-0.21682137614076938
27.0,-6.6194460760836495,-1.3162358076543375
28.0,-13.480516420151696,2.711813019370744
29.0,-17.42246135584153,-3.0135914465427986
30.0,-15.575315064384434,1.7211941911293476
31.0,-4.602268021734763,-0.39444719583734816
32.0,-11.54546246917671,2.019657652757377
33.0,-14.162594404599254,-1.1826102780118068
34.0,-11.955053263692616,-2.8090737605936495
35.0,-6.144661537542157,2.987263940147731
36.0,-8.252736366087136,-0.4758685475288772
37.0,-15.092513121799918,-1.8403879065263584
38.0,-11.651686215011187,-1.8254317287666126
39.0,-11.058378628484373,1.4136427242516858
40.0,-13.122812785433105,2.740205159749689
41.0,-11.497526483342897,0.06843176755582438
42.0,-27.7133200756257,-0.9064896641601062
43.0,-11.254042210718032,-2.844878554711338
44.0,-18.16874841260649,0.6758330865365128
45.0,-13.978073582154696,-1.761318673067116
46.0,-13.672770521310465,1.83265169274412
47.0,-8.87619390098519,0.8095995209706516
48.0,-9.786794622123153,3.1133056576301805
49.0,-11.959186926410702,2.8890529196126726
50.0,-7.115586450623711,0.5509586570112107
51.0,-15.190217928044273,-1.3645203625281395
52.0,-9.61207233346281,0.4540421437439656
53.0,-15.293376318543586,-0.892916313862473
54.0,-14.428528897440104,1.7243215238797607
55.0,-21.853450571202412,-1.413096665116469
56.0,-13.452186385339928,0.3807795767711324
57.0,-20.094918688784396,0.4848620475788645
58.0,-6.014758508331558,3.052018053586492
59.0,-14.196487584813456,3.0950362220350365
60.0,-6.4686793922444705,-0.9624689723341777
61.0,-22.844771059472585,-0.7349077957640133
62.0,-7.723000064320933,-0.24786740339238808
63.0,-16.87841675416297,-1.318881736879431
64.0,-3.8062875114917256,-0.5203234824266944
65.0,-17.569804573446667,-0.576145685048681
66.0,-13.567619709242706,2.5997488749277884
67.0,-11.245838034099087,1.1560978840801284
68.0,-11.205948018296061,-2.131469732489885
69.0,-11.582213751879314,0.17380149215277244
70.0,-6.109711339448727,-2.3902436942088103
71.0,-14.465675812123827,3.1069382668171652
72.0,-9.913575750077847,0.3878344624949908
73.0,-20.33971374680139,-2.0410114200692644
74.0,-8.785391930745773,-1.16527734980946
75.0,-15.692194100529102,2.9603852842604996
76.0,-12.72963266404746,-1.6047491233320685
77.0,-9.157856468638277,2.449744982145125
78.0,-8.468966260777812,1.218320131543564
79.0,-10.650875501497152,-0.5693377473772984
80.0,-15.040095585464119,-1.7443905548946643
81.0,-15.257256401737392,-0.22453962069474057
82.0,-14.102747325129277,2.7357139980476113
83.0,-10.219308293526936,-1.2088280321556437
84.0,-14.117898393243866,-0.27642073009532675
85.0,-10.07527967940279,-1.1701902138112426
86.0,-13.686379747322617,1.4871041971379104
87.0,-12.466438434351076,-1.6913035158084306
88.0,-10.616851062829337,2.8068833295745548
89.0,-8.877409035232995,1.7331243738723086
90.0,-17.731298313888182,2.396803727594656
91.0,-7.030160009647009,-1.3755385810662888
92.0,-11.550000481997333,0.16761236607708266
93.0,-15.447466436477391,2.9993421629837673
94.0,-29.04920680393227,0.5141092527393446
95.0,-6.52235953934389,-0.5872808719631292
96.0,-10.601492058683386,2.2781801798660695
97.0,-10.468792335420236,0.097449721639836
98.0,-8.579721621158976,-1.0826862568522393
99.0,-8.814159229098575,2.307852014058976
100.0,-7.349777908426155,-1.380169444977213
101.0,-55.49257300944423,2.2063503253054892
102.0,-18.016635050580064,2.3297279270601794
103.0,-7.350039237607827,-2.80343341665786
104.0,-10.856768550051328,-1.5612607802707035
105.0,-11.58879065993,-0.6089194939649254
106.0,-7.248586584013788,-1.7086500579992587
107.0,-9.399889138828199,-1.7216769013046607
108.0,-10.632975517614527,0.8210581712197349
109.0,-7.531655924031649,0.20471599500845775
110.0,-18.783243230630966,-1.2702114519524832
111.0,-12.847215707330248,-1.4793925776254842
112.0,-8.244925927420567,0.6802889531910826
113.0,-9.656432749347683,-2.8991614536211503
114.0,-16.518046914830485,-1.6228896150839942
115.0,-14.982198412526579,-0.5368537636840482
116.0,-12.969737432247722,-0.3541096545693509
117.0,-8.00752620679228,3.056377409309056
118.0,-15.283628343581707,1.4140632742053865
119.0,-10.026922208133907,2.3265369172245
120.0,-15.16688376098591,-0.2720175369517955
121.0,-6.206621801550831,2.3754458923564186
122.0,-18.938991599822845,1.1712217496817696
123.0,-8.309801079264936,-1.9570352418925974
124.0,-10.564293670752821,-2.991135420775794
125.0,-9.925789269805987,0.022391464518444367
126.0,-8.171029291249074,-2.5733639228295595
127.0,-4.6451665882883075,-2.751536047969739
128.0,-17.453807977886616,-2.7262752120551506
129.0,-8.977509646878367,0.3710154482279305
130.0,-10.149561633952244,-1.8411034752807574
131.0,-14.217529791572494,2.754879406162901
132.0,-9.310433554834605,-1.904939225247315
133.0,-8.669673872077919,-1.0014050279995357
134.0,-11.462537543100622,-1.7026870802396556
135.0,-9.849958644100163,0.8802431396416204
136.0,-10.183184043912403,-2.5211036771375532
137.0,-13.357553270559455,0.9472819470389702
138.0,-5.869045196880607,-0.09515447326265115
139.0,-16.13257142815375,0.9496340823091292
140.0,-8.371350394865264,2.9695512372343438
141.0,-19.951141454335094,-2.4560020806271052
142.0,-9.641267420554787,2.0362694878424463
143.0,-12.444280428343014,-1.255884177568211
144.0,-9.368042700216005,-0.7551513982376737
145.0,-8.492313945841888,1.0311060727859778
146.0,-16.217739862744768,-0.8440425108067267
147.0,-11.728594847931092,-0.7461123875170783
148.0,-7.236272946798894,-0.593891827135221
149.0,-11.555321509503788,1.7671182546891557
150.0,-14.29862889509856,0.712072064944037
151.0,-14.75456498156171,1.2120826688909139
152.0,-12.096281831975134,1.9005018487002443
153.0,-21.019192339625544,1.2188354435405302
154.0,-13.881978773307837,0.5028807716864298
155.0,-13.73354090118295,0.19355050815183966
156.0,-10.38942742697696,1.1548413016002732
157.0,-10.1341391075932,0.6078280366106206
158.0,-9.61077637208658,-1.3152279298186984
159.0,-11.788438811411623,-1.8269192235587965
160.0,-7.2787680707381135,-1.9020532864096635
161.0,-9.34084793745039,0.702742016145034
162.0,-9.76242199694457,2.960009166260621
163.0,-13.804301370922715,-0.38064877224304056
164.0,-12.269328245295084,1.884620578743484
165.0,-10.767015331405116,-2.301371399134775
166.0,-9.46987721362192,-0.42254463259537495
167.0,-25.83102481598537,-1.6459959770415216
168.0,-17.757044694334702,-1.2765706550319527
169.0,-14.245774364949868,3.013066531012668
170.0,-10.098985601123786,-1.9987362472791497
171.0,-18.417702748473832,0.5682649905542096
172.0,-9.741312080134763,0.11862879936036697
173.0,-11.338291236807885,0.33753220808056644
174.0,-26.008438208135104,2.3539608810623474
175.0,-9.32485612398208,1.9557343774331604
176.0,-7.307918875673738,-0.44451167324692475
177.0,-17.113847481169604,-1.8616258050680057
178.0,-11.148520280937822,-3.050975718346407
179.0,-17.041377009553763,-3.0625414204609296
180.0,-15.932994972414638,0.21978187220817966
181.0,-13.092296308551472,2.636948575316191
182.0,-15.808266561736852,-2.2909130906621193
183.0,-5.594904516712301,-2.3060173271705007
184.0,-10.594902184278276,2.7031538014803336
185.0,-18.2170590587473,0.19172045072772329
186.0,-13.89257125981308,1.1920949668178862
187.0,-3.9239949872210564,0.04008395756544077
188.0,-5.307601043371234,-1.5878354698150419
189.0,-23.696116519456236,-3.1135646037923563
190.0,-9.941124032871919,1.4602847733806292
191.0,-2.603961642796166,-2.484179304222031
192.0,-8.656892841274159,2.2987801359463726
193.0,-13.343942659113566,-1.6203266242071819
194.0,-8.28317002070548,-0.793185545061391
195.0,-16.236957867980927,-1.6986592072574382
196.0,-7.7456649432148295,-1.2398707209509432
197.0,-14.790930038845723,-0.8327218020582167
198.0,-19.78989654780098,-2.5523136059893345
199.0,-4.21852728325422,-2.0023296196001716
200.0,-12.300917051967861,0.8985368057221976
201.0,-11.89192263474008,1.5149336901557164
202.0,-9.2318829074432,1.2613140419300852
203.0,-6.505076319964502,1.3847560191637343
204.0,-11.031271991759294,2.368239982994913
205.0,-3.64257139890508,-1.367659823304607
206.0,-8.622013283663339,-2.67041838425589
207.0,-9.770553465851945,2.7169198241809647
208.0,-11.645103432525698,3.0535041924599686
209.0,-12.27713252888771,-0.7455539779535896
210.0,-18.077119180683216,1.8732517687507846
211.0,-14.242483832918982,0.8420621448659549
212.0,-14.45343849278144,-0.36384729982236697
213.0,-7.659957352357397,-0.27547146585654564
214.0,-10.242138082959322,-0.12224229951653756
215.0,-20.080070914384383,-0.8417906384118538
216.0,-23.098374590680994,2.447894113574313
217.0,-11.917732094589466,0.22967769710651204
218.0,-12.545091601007554,2.1908457920323543
219.0,-26.223277960362918,1.00605774222904
220.0,-21.049087728274635,-0.708585338138042
221.0,-9.441130647522407,1.1335396806716915
222.0,-20.472039427230435,-2.4742116406307066
223.0,-7.829689007093926,-0.9362378553730812
224.0,-9.918460744377587,2.3509971943145738
225.0,-15.920506477914103,-1.7820231409891798
226.0,-11.400305394891275,-1.4617934708196991
227.0,-17.49050378824561,-2.1855510077595657
228.0,-5.912621956423614,-1.4484019953850613
229.0,-12.87554537606746,-1.0304334180346835
230.0,-13.24800069760312,1.0023967952230968
231.0,-9.12613153610726,-0.29559387032587425
232.0,-6.558830061768366,1.5168762818501964
233.0,-4.1969292772175315,-1.1639930065491726
234.0,-7.2745291482605055,1.587744259523391
235.0,-3.143646493670285,2.408230090526023
236.0,-5.2138968665433385,-1.4009304897075543
237.0,-4.5765926740099045,1.5734948050767545
238.0,-8.138634851620427,2.917739978522692
239.0,-14.946688246063871,2.030239515708001
240.0,-2.5419809818031074,-0.782820529272919
241.0,-22.474479872447603,-1.3919131419937907
242.0,-16.338800381901283,3.0160875210853186
243.0,-14.445593440384839,-0.1888509956820006
244.0,-10.96342360047597,-2.8846493605943953
245.0,-18.69385301166146,1.1780942910529617
246.0,-9.523993515023154,-0.6489294117012029
247.0,-17.025640325614535,0.3740594224406336
248.0,-8.402870543485792,-2.992009123995517
249.0,-11.707478932411474,1.406256942521107
250.0,-8.16044895633541,0.6294567265199724
251.0,-8.331917403149353,1.3849901912739113
252.0,-16.004317415242255,2.1118568301756397
253.0,-7.125905740568397,0.9197261571010544
254.0,-6.862850907229097,1.1101343213936117
255.0,-13.824094626853325,-2.239792374065721
256.0,-7.549698865221438,2.9055450441410686
257.0,-14.562744131361345,-0.7933780201997628
258.0,-7.677833411651064,1.8326339570378956
259.0,-10.859093127166023,2.6004528878455955
260.0,-5.333100064461924,0.8539615010648052
261.0,-10.41378808548344,2.670028742731088
262.0,-9.216437315662452,-2.841564953453114
263.0,-6.8788320554989655,-1.3227064288066348
264.0,-7.958504659927071,-1.174521761931748
265.0,-12.637850514055003,-0.07516235331743204
266.0,-6.428963773530016,-1.9183001129586654
267.0,-5.702125358007709,2.395923531415691
268.0,-13.565829047617266,-0.9846946694640373
269.0,-13.368818081506976,1.333903978136991
270.0,-14.16048338593564,0.1527343513338225
271.0,-10.276782852348447,-1.2975375424777162
272.0,-5.789666421542707,2.6639033504247647
273.0,-14.55842871966919,1.2363573561773689
274.0,-19.351438119057217,0.43557129944416106
275.0,-17.377434073818968,-1.2583040554053675
276.0,-9.243376996298775,1.2944247257921195
277.0,-14.148030040469667,-1.1900990526474087
278.0,-15.917650268921651,1.0363643678048786
279.0,-9.78022047711445,-2.3860140340406484
280.0,-10.981280398927343,-2.9549969832279825
281.0,-11.788681770825903,1.4555545329045292
282.0,-12.53048627563019,-0.7214206787078169
283.0,-15.592527781555445,-0.5911680093131552
284.0,-11.46635943561937,1.987605415278399
285.0,-12.233953488586135,-2.856574170492244
286.0,-21.934349171157624,2.7114094246004106
287.0,-20.97183428071997,-1.229306378761571
288.0,-5.224742136538092,-2.6822926090796417
289.0,-9.05042782194369,1.668683570242495
290.0,-12.20830711576443,-1.3844574766399285
291.0,-8.947501648522074,0.5831310128026659
292.0,-5.01600941586085,2.1377583076826747
293.0,-9.929952049013426,2.415365681362135
294.0,-17.33344038364055,1.3828721763252885
295.0,-10.378874354144275,-2.4922294294286766
296.0,-15.318100490621303,1.9717769533145975
297.0,-13.037425615749958,-1.5935604188426367
298.0,-17.54142487683602,-2.3294986745178803
299.0,-10.322485902113424,-1.2397815325269306
300.0,-9.917089993451565,0.9097509139442304
301.0,-10.208477046499187,2.5139840077539635
302.0,-8.758218203893389,2.3726368184328788
303.0,-5.1905920319549095,-2.8171268682257047
304.0,-18.623395511800062,-2.422634694690243
305.0,-19.663184761314735,3.0249808197428982
306.0,-10.005071954372465,-2.427920825995471
307.0,-12.289676278910331,-0.7376173067067616
308.0,-16.60053242665096,2.3949681835134986
309.0,-16.624415668317123,2.4799945191935513
310.0,-9.043047888947896,-1.9619259020389934
311.0,-13.295625598467119,-3.0342231724208046
312.0,-14.529752653057542,2.146680484193613
313.0,-9.317686217769904,2.4086111680058884
314.0,-13.600269806675897,1.4330465225448978
315.0,-6.903753869091823,1.2438677668459543
316.0,-25.24385576466063,2.745701979159001
317.0,-7.767233517512102,1.5824750906499248
318.0,-7.051775660919243,1.713515889015365
319.0,-16.21366199039992,-2.667145922302502
320.0,-16.472284166554633,-1.1234434203328252
321.0,-15.170543168210813,1.186517534361714
322.0,-14.409403663017326,-0.41793782460457396
323.0,-17.45274829684627,-1.4914792726019042
324.0,-11.888325757591831,1.8045212975627187
325.0,-8.53056475996757,-2.489603818939111
326.0,-6.128466510549436,3.0956771807852728
327.0,-7.1507873158553,1.2525618297391758
328.0,-18.46641580667767,-2.0972832916489876
329.0,-16.045822944267496,-0.5754251237180412
330.0,-8.378193381855363,1.530923679647643
331.0,-8.179602491432421,0.05058441893221221
332.0,-2.803689259546559,1.7865975151485023
333.0,-6.048352959480516,0.2609001418633478
334.0,-17.742604767295063,-0.1605866479260905
335.0,-11.76403504559479,1.7807567219150189
336.0,-12.403153369717588,0.07891463711001863
337.0,-7.337386616837858,-2.465458009016874
338.0,-15.487305916872536,-0.5096080739819897
339.0,-15.5171360137746,0.07133971461413639
340.0,-7.517375806938407,-1.902140039212554
341.0,-7.148594409659457,2.468391092607828
342.0,-12.439754395072526,-1.6832572609021301
343.0,-23.382594336674618,0.9065265278385606
344.0,-10.097708545505597,1.349189068413153
345.0,-9.098771163654458,0.36227009034580454
346.0,-11.30380689396739,1.851083614061534
347.0,-9.13460855422591,-3.042114756146031
348.0,-6.01647995793507,0.5291714828972337
349.0,-10.17601368934888,1.7164411965837405
350.0,-10.25112522214343,1.1371060087054823
351.0,-10.15250125853944,-2.6670967071321012
352.0,-17.14287383757467,0.7957044825997541
353.0,-12.120876125514442,-2.588090053753806
354.0,-27.527907043696747,-0.938955823450772
355.0,-10.593213605143344,0.2524565401149477
356.0,-14.647613915102845,-2.5833542578662247
357.0,-7.129379412037828,-0.16083006542869546
358.0,-11.450755550512646,-2.5074655181701893
359.0,-8.239106133320831,-2.441972672210604
360.0,-8.822869369550416,1.7125143737411967
361.0,-10.105390974422265,0.6686365149872527
362.0,-9.037042952332408,0.732717375980338
363.0,-18.572536913228365,0.6226438614082539
364.0,-11.318458589521637,3.0522498279383634
365.0,-9.591319393081537,2.0369349103188163
366.0,-21.728390519611377,1.5350624289054537
367.0,-7.814514830575085,0.9811134993709247
368.0,-21.900637371920887,-1.3461622075100508
369.0,-2.854699345655809,-1.7274259864494796
370.0,-14.964123045466167,3.0920012621673925
371.0,-14.180919051462242,-1.6469216389184975
372.0,-14.199347183898903,0.03888692706158162
373.0,-10.101832869865866,-2.44607636194804
374.0,-8.366181304940755,0.3825735909521979
375.0,-20.327852528831297,-1.430926961481485
376.0,-13.943197016839523,-1.5368733834542208
377.0,-16.255683177718414,1.686318399889522
378.0,-8.51780720525779,2.9068089510747352
379.0,-16.672303632671344,0.09671069810417032
380.0,-14.475815033110075,0.1060131784554489
381.0,-4.893295629025005,-3.08623929655166
382.0,-9.72048135271449,-2.7052628168066817
383.0,-24.504601847572253,0.364923942243833
384.0,-10.120586447508565,-1.6583460164036143
