Frequency_Hz,Left_Mag_dBFS,Left_Phase_rad,Right_Mag_dBFS,Right_Phase_rad
0.0,-18.843603450786997,0.0,-18.843603450786997,0.0
0.5,-8.187710069540136,-2.2074708253547652,-8.187713578183832,-2.205851350358378
1.0,-13.487614886588172,2.704639756157675,-13.487628993813585,2.707876124256221
1.5,-10.723478312109126,2.4841295871117772,-10.723510217394496,2.4889802514792345
2.0,-13.590105595554336,-1.157632073648368,-13.590162608670857,-1.15116972481073
2.5,-10.673478809542505,2.5663227493413183,-10.673568351307399,2.5743941558586263
3.0,-11.07488562209273,-2.3372629215124467,-11.07501522512271,-2.3275850991238958
3.5,-16.071692691181887,-1.3556656095163693,-16.071870000646907,-1.3443840281088935
4.0,-9.742398737860734,0.3693731565026702,-9.74263151223808,0.38225582500704586
4.5,-14.942919498465184,1.586574528084335,-14.94321561029379,1.601055596668218
5.0,-17.34398433331951,3.0716950216997807,-17.344351769954507,3.0877717882249023
5.5,-13.84139526419753,-1.8639474931681963,-13.841842128565013,-1.8462777459863404
6.0,-10.290648697253966,-1.588741064041211,-10.291183208605915,-1.569481068658568
6.5,-15.149936870931345,-2.5187537582380535,-15.150567365600692,-2.4979062623070822
7.0,-13.16203683090119,-0.13362948539086705,-13.162771763056982,-0.11119725178546262
7.5,-11.648681228734336,3.0240375419208663,-11.64952917113698,3.0480517350805907
8.0,-19.8083900119915,1.2565420220010475,-19.809359656748057,1.2821353813241052
8.5,-15.505097784250225,-1.3979907557517002,-15.506197943569761,-1.3708210389516813
9.0,-9.993504873299429,1.589322198886628,-9.994744480248238,1.61806544915746
9.5,-18.42098484411361,-2.1885836698117194,-18.422372953370505,-2.158269725420258
10.0,-7.414863357598033,-1.6262673346429746,-7.416409146209487,-1.5943855508492417
10.5,-10.26280811656864,1.366403866827579,-10.264520884703906,1.3998506199130327
11.0,-14.148773188721746,0.9209830339759087,-14.150662360427742,0.9559918708264391
11.5,-7.728381496935559,2.4634288332942003,-7.730456620891659,2.4999968529432812
12.0,-12.744909794746992,2.9682993477712145,-12.747180545019575,3.0064236337887564
12.5,-6.851989903416994,-0.5298522749605852,-6.854466080213774,-0.49017465449180425
13.0,-15.237277326196574,-1.2621312770386743,-15.239968856620735,-1.2209032695464832
13.5,-7.359773071646995,0.7479261692366508,-7.362690010450937,0.7907016007904453
14.0,-18.71411810535951,0.5375884143112308,-18.71727063569837,0.581908291407568
14.5,-10.647960974978929,1.3596281976217255,-10.651359409163712,1.405489526161101
15.0,-13.712130230131837,1.7655984622494658,-13.715785010382186,1.8129982325288383
15.5,-9.523179809315117,-2.473495803702208,-9.527101508511658,-2.424560617012438
16.0,-16.238255151317812,-0.38020717225418915,-16.24245447375412,-0.3297396101331111
16.5,-8.86321330962769,-2.6454185002053565,-8.867701091761711,-2.593421619304416
17.0,-16.0060803485881,1.4382018317547611,-16.010867559793173,1.4917249590889772
17.5,-19.449409650753047,2.263384362404195,-19.454507394068365,2.3184306481072325
18.0,-8.226489971084819,-1.04114089097041,-8.231909483965277,-0.9845745507035326
18.5,-15.857026119290287,0.11611684320846596,-15.862778774355899,0.17420011847107197
19.0,-19.215851432567955,1.1230171575924301,-19.221948738352552,1.1826142324969757
19.5,-12.070622748494547,0.020781765481682767,-12.077076350193837,0.08188948886620237
20.0,-9.791096854635299,-1.1988470042446109,-9.797918534854364,-1.1362317993727125
20.5,-13.170842112861328,1.604780440922468,-13.178043792361343,1.6688999444361046
21.0,-15.21145444857587,2.609329848739317,-15.21904818702013,2.6749504521736314
21.5,-17.46859119076531,-1.0153991471025994,-17.47658918746451,-0.9482806583664335
22.0,-10.584953701422835,0.7545318134831936,-10.593368296079582,0.8231449569822913
22.5,-34.15441917569127,0.05265907401199979,-34.163262849143756,0.12276362579272326
23.0,-18.215396199363628,0.7690505378102436,-18.22468157432875,0.8406432354266292
23.5,-18.163459232559426,2.4273425309916177,-18.17319907437441,2.500420096010752
24.0,-25.230010857142506,2.7701150756449207,-25.24021807450637,2.844674213624693
24.5,-11.686289018591172,0.7906508295951025,-11.696976664304835,0.8666882300619319
25.0,-9.25056593138206,2.329109224213354,-9.261747203087697,2.4066215606399353
25.5,-13.467065836357598,-2.365255873166601,-13.478754077276973,-2.286271943383579
26.0,-7.405384490285089,1.8749397633157252,-7.417593189956887,1.9553919277535838
26.5,-12.09339900691086,-3.1164594950345945,-12.106141801927059,-3.034542470764103
27.0,-14.494885636190846,2.975112775563993,-14.508176310932011,3.05849126870198
27.5,-18.048154161399708,-0.9829304570116083,-18.062006648769234,-0.8980939021365577
28.0,-23.614457568267536,-1.552172982191174,-23.628885950424745,-1.4658817888971853
28.5,-20.86822965820295,2.4223585650138633,-20.883248167295214,2.5101009571985324
29.0,-9.237847287542891,0.7558568967893494,-9.25347030643642,0.845047032103818
29.5,-14.479697853234509,-2.5538528172694233,-14.49593991624413,-2.46321841084119
30.0,-11.417691687695477,1.842332658867364,-11.434567481313119,1.9344078481155675
30.5,-12.819883809244963,2.4394626507673753,-12.837408172867,2.5329751182413385
31.0,-13.61795419831483,-2.8558637994688434,-13.636142124968131,-2.7609175746864834
31.5,-14.30020459342111,-0.33950780897351956,-14.31907123048784,-0.243131364146082
32.0,-49.516672694520246,1.280592494476655,-49.5362333444611,1.3783956057170184
